0x0001	 [X]
0x0938	[0E][10],[NL][0B][10][02][NL][0E][800B][09]Eirika![X][A][0B]Tana!? What are[X][NL]you doing here?[X][A][09]I heard that Renais had fallen,[X][NL]and I was so worried[16]...[X][16][A][NL]I'm so happy to see you're safe.[A][0D][10][04][NL][0D]And it's our great pleasure to see[NL]that you are well yourself, Lady Tana.[A][09][17]Seth! You're all right![X][A][NL][17]Wait! Where is Ephraim?[X][NL]Is he well?[X][A][0B]I wish I knew.[A][0D]We still have no word of Lord Ephraim.[A][09]You haven't heard from him? Oh, I[X][NL]hope he's not been harmed[X][16]...[X][16][A][NL]Come, we must go to Castle Frelia.[NL]My lord father may know something.[A][0B]Thank you, Tana.[A]
0x0939	[09][10][06][NL][0C][10][02][NL][09]Princess Eirika, it is good[X][NL]to see you're well.[X][A][0C]Franz, you made it through unscathed[16]...[X][16][A][09]Y-yes, Your Highness![X][A][NL]I met up with Sir Gilliam of Frelia[X][NL]and explained the situation in Renais.[A][NL]He told me that Princess Tana was[X][NL]in danger as well, here at Mulan.[X][A][NL]We rode as swiftly as we could.[X][A][0C]Tana is here?[X][A][NL]Franz, we must hurry![X][A][09]Understood![X][A]
0x093C	[09][10]\[NL][0C][10][FF][FF][09]That knight encamped at the castle was[NL]wearing the finest armor I've seen.[X][A][NL]It looked like it could turn aside almost[X][NL]any blade you swing at it.[A][NL]I know my armor, though. I wager a good[X][NL]rapier or armorslayer could get through it.[X][A]
0x093D	The relationship between [X][8021]swords[8021], [8021]lances[8021],[X][NL]and [8021]axes[8021] is called the [X][8021]weapon triangle[X][8021].[X][A][NL][8021]Lances[8021] are strong against [8021]swords[8021].[X][NL][8021]Swords[8021] are strong against [8021]axes[8021].[X][NL][8021]Axes[8021] are strong against [8021]lances[8021].[X][A][NL]In that last battle, the enemy commander,[X][NL]Breguet, wielded a [X][8021]lance[X][8021], while the[X][NL]Frelian soldier used a [X][8021]sword[X][8021].[X][A][NL][8021]Lances[8021] are strong against [8021]swords[8021],[X][NL]so Breguet had an advantage.[A][NL]The [8021]weapon triangle[X][8021] can be very[NL]important in determining the outcome of[X][NL]a battle. For the time being, just[A][NL]remember that [8021]lances[8021] are strong[X][NL]against [8021]swords[8021].[X][A]
0x093E	It's time to [X][8021]visit[X][8021] a home. First,[X][NL]place the cursor on Eirika[NL]and press the A Button.[X][A]
0x093F	The cursor is now on [X][8021]Eirika[8021].[X][NL]Press the A Button.[X][A]
0x0940	Move Eirika to the [X][8021]house[X][8021].[X][A][NL]Place the cursor on the flashing[NL]space and press the A Button.[X][A]
0x0941	You can get [8021]battle hints[8021] and[NL]other useful information by[X][NL]talking to people in homes.[X][A][NL]This can be very beneficial,[NL]so be sure to visit houses[NL]when you have the chance.[X][A][02][NL]Now select [X][8021]Visit[X][8021] and press [X][NL]the A Button.[X][A]
0x0942	Units on [X][8021]gates[X][8021], [8021]forts[X][8021], and other special[X][NL]areas [8021]recover Hit Points (HP)[X][8021] at the[X][NL]beginning of your turn.[X][A][NL]Currently, the enemy commander, Breguet,[NL]is standing on a [X][8021]gate[8021]. Even if he takes[NL]damage, he'll soon [X][8021]recover some of the[X][8021][NL][8021]HP[8021] he lost.[X][A]
0x0943	Starting with this chapter, you will[NL]control not only Eirika, but also Seth,[X][NL]general of the Knights of Renais.[X][A][NL]You select and move him in the same way[X][NL]you do Eirika: by placing the cursor[NL]on him and pressing the A Button.[X][A][NL]When all of your units have finished[NL]moving, your enemy's turn will begin[NL][8021]automatically[X][8021].[X][A][02][NL]If Eirika, the leader of your group, falls[NL]in battle, [X][8021]the game is over[8021].[X][A][NL]You can choose to continue playing if any[X][NL]of your allies fall, but defeated allies[NL]will [X][8021]never fight at your side again[8021].[X][A][NL]Try to move forward with the fewest[X][NL]number of casualties possible.[A]
0x0944	Allied units have joined the battle.[A][NL]All allied blue units can be moved[NL]in the same manner as Eirika.[X][A]
0x0946	It's time to [X][8021]trade[X][8021] items. First,[NL]place the cursor on Gilliam and[X][NL]press the A Button.[X][A]
0x0947	The cursor is on [X][8021]Gilliam[X][8021].[X][NL]Press the A Button.[X][A]
0x0948	Now select [X][8021]Trade[X][8021].[X][A]
0x0949	Here are the items Gilliam[NL]and Franz are carrying.[X][A][NL]Move the cursor to Franz's[NL]items on the right side.[A][NL]Press [8021]right on the[NL]+ Control Pad[X][8021].[X][A]
0x094A	Use the [8021]+ Control Pad[X][8021] to select[NL]a [8021]vulnerary[X][8021] and press the [X][NL]A Button.[X][A]
0x094B	Press the A Button now to accept[NL]the [8021]vulnerary[X][8021] from Franz.[A]
0x094C	The item has successfully been traded.[A][NL]Press the [8021]B Button[8021] to finish [X][NL]your transaction.[X][A]
0x094D	You can use the [8021]vulnerary[X][8021][NL]you received right away.[A][NL]Select the [X][8021]vulnerary[X][8021] from[X][NL]your [X][8021]items[X][8021] and use it.[A]
0x094E	Place the cursor on [8021]Seth[8021] and[NL]press the A Button.[X][A]
0x094F	The cursor is now on [X][8021]Seth[8021].[X][NL]Press the A Button.[X][A]
0x0950	Seth must move near his[X][NL]foe. Press the A Button.[A]
0x0951	This is the [8021]combat[NL]information window[8021].[X][A][NL]At the top of the window,[X][NL]next to Seth's name, is a[X][NL][8021]weapon[8021] and an [8021]arrow[X][A][NL]pointing up[X][8021]. This is because[X][NL]Seth has a [X][8021]sword[X][8021], while[X][NL]the soldier has an [X][8021]axe[X][8021].[X][A][NL]The [8021]weapon triangle[X][8021] states[X][NL]that [X][8021]swords[8021] are strong[X][NL]against [8021]axes[8021].[X][A][NL]Seth is at an advantage.[A]
0x0952	The enemy has an [X][8021]axe[X][8021], so it's[X][NL]best to counter with a [X][8021]sword[X][8021].[X][NL]Choose [X][8021]Attack[8021] and press[NL]the A Button.[X][A]
0x0953	Move the cursor to an unoccupied[NL]space on the map, and press the [NL]A Button to open the [X][8021]map menu[8021].[X][A][NL]The third item from the top is[NL][8021]Guide[X][8021]. Try selecting it.[X][A][NL]The guide contains lots of useful [NL][8021]game-play information[X][8021].[X][A][NL]If you run into something that[NL]seems unclear, review the [8021]guide[X][8021][NL]for a quick reference.[A]
0x0954	[09][10][02][NL][0D][10][08][NL][0B][10][07][NL][09]Seth has mapped out a route for us.[X][A][NL]We'll travel south of Renais and pass[X][NL]through Serafew into Grado territory.[X][A][0B]Hmm[X][16]...[X][16][NL]That would seem a sensible plan.[A][NL]Assuming, of course, that we can avoid[NL]any run-ins with Grado soldiers[X][16]...[X][16][A][0D]Princess Eirika, may I have your leave[NL]to scout ahead?[X][A][NL]From the sky, I'll have a better chance[X][NL]of spotting any nearby troops.[A][1C][0B]We're yours to command, Your Highness.[NL]Will you give your permission?[A][09]Yes, of course.[X][A][NL]Keep an eye out for enemy[X][NL]bowmen though, Vanessa.[X][A][0D]Yes, Your Highness, I shall.[A][NL]I shall prove myself worthy[X][NL]of the honor of your trust.[X][A][0D][11][09]She seems very[16]...[X][16]sincere.[A][0B]Sincere[X][16]... [16]Yes, quite.[X][A]
0x0955	[0B][10]2[NL][17][0B]Hey, boss! We've found more[X][NL]villages ripe for the picking.[A][08][10]3[NL][08]One, two, three[X][16]...[X][16][05][NL]Ha ha ha! I love a good war![A][NL]With all those soldiers preoccupied,[NL]we're free to pillage as we please![X][A][NL]Right, Bone[X][16]--[16]you're in charge.[X][A][NL]Grab everything that's not nailed[X][NL]down and bring it to the hideout.[X][A][0B]I'm on it.[A][15]
0x0957	[0C][10]2[NL][17][0C]Let's start with that village there![NL]Go to it, boys! It's all yours.[X][A][NL]Cut down anyone fool enough to get[NL]in your way.[A][NL]I'm heading west around the[X][NL]mountains to the other villages.[A]
0x0959	[08][10][08][NL][08]Ah! This looks serious.[X][A][NL]I must report back to[X][NL]Princess Eirika at once.[A]
0x095A	[09][10][02][NL][0F][10][08][NL][0F][800D][0B]I have bad news.[A][NL]The village to the east is[NL]under attack by bandits.[A][09]Bandits?![X][A][0D][10][07][NL][1C][0D]We have arrived at our first dilemma.[X][A][NL]We must move quickly and attract as[X][NL]little attention as possible, but[X][16]...[X][16][A][09]But I cannot stand by and watch[X][NL]innocents be harmed.[A][NL]Vanessa, how fare the villagers?[A][0B]I spotted one injured person.[X][NL]He appeared to be just a child.[X][A][09]Father Moulder, can[X][NL]your staff help him?[A][0D]Well, yes, I can heal his[X][NL]injuries with my staff, but[X][16]...[X][16][A][NL]I cannot do it from here. He's[NL]too far away. I must be near him.[X][A][0B]Princess, please leave this to me.[A][NL]I shall bring the boy here.[X][A]
0x095B	[09][10][08][NL][0C][10][07][NL][0C]All right, Vanessa.[X][NL]It's up to you.[X][A][09]Very well. I'm off.[X][A][09][11]
0x095C	[09][10][02][NL][09]I'll head for the nearest village[X][NL]and warn them about the bandits.[A]
0x095D	[08][10][08][NL][0A][10][09][NL][1C][0A][800C][0A]Hey![A][08]Calm down, lad. Keep squirming,[X][NL]and I may drop you.[X][A][NL]I'm carrying you to the other[X][NL]side of these mountains.[A][0A][800C][0A]Wait! Dad![A][0C][10][0E][NL][0C]Don't worry about me. Go![X][A][NL]I'll hold these scum here.[NL]Take care of Ross![A][0A][800C][0A]DAD![A]
0x095E	[0D][10][08][NL][0B][10][09][NL][1C][0D]I've brought the boy.[X][A][NL]Father Moulder, please[NL]heal his wounds.[A]
0x095F	[09][10][07][NL][0C][10][09][NL][0C][800E][0C]My wound[16]... [16]It's gone![A][09]Yes, it is. Now try to keep[X][NL]yourself out of harm's way.[X][A]
0x0962	[0C][10][0E][NL][0A][10][04][NL][08][10][02][NL][1C][0C]You saved my son.[X][NL]I owe you my thanks.[A][08]It's not necessary[16]...[X][16][A][0A][16]...[X][16]Hold on a moment[16]...[X][16][A][NL]Aren't you[16]...[X][16]the great Garcia?[X][NL]You fought for Renais, didn't you?[A][0C][16]......[16][A][08]Seth, do you know this man?[X][A][0A]He was a troop commander for Renais[X][NL]until around ten years ago.[X][A][NL]When I was a recruit, the soldiers[NL]used to tell so many tales about him.[X][A][NL]They called him a daring and fearless[X][NL]fighter for Renais.[X][A][02][NL]Master Garcia, you must know the peril[NL]our homeland faces right now[16]...[X][16][A][NL]Can we impose upon you to lend your[X][NL]strength to Renais once again?[A][0C][16]...[X][16]I'm sorry. I'm retired now.[X][A][NL]I'm not a soldier anymore. It's[X][16]...[X][16][NL]a decision I made long ago.[X][A][0A]Master Garcia[X][16]...[X][16][A][0C][16]...[X][16]When I was a soldier, I lived my[NL]life fighting for my country's honor.[X][A][NL]I left no time for my family.[X][A][NL]I spent my life fighting for faceless,[NL]uncaring nobles.[A][02][NL]When my wife fell ill and died, I met[X][NL]the child she had left behind[X][16]...[X][16][A][NL]At that moment, I finally realized[NL]what my duty had cost me.[X][A][08][16]......[16][A][0C]I stood at my wife's grave and promised[X][NL]her I would be a father to our son.[X][A][NL]I'm done with armies. I'm done with[X][NL]fighting, except to protect my son.[X][A][NL]I've no regrets. I'm the boy's father.[A][0A][16]......[16][A][0E][10][09][NL][08][11][0A][11][1D][0E][800B][09]You[X][16]...[X][16]you blasted fool![X][A][NL]Father, what's all this[X][NL]nonsense I'm hearing?[X][A][0C]Ross![X][A][09]If you're not going, then I will![X][A][NL]I'm a fighter![NL]I know I can do this![X][A][0C][800D][0B]Ross, what are you saying?[NL]I[X][16]...[X][16][A][09]Dad, please! Listen to me![A][NL]I respect you more than any[X][NL]other man in the world.[X][A][NL]I know you gave up being a[NL]soldier for me. I know that![A][NL]But how can you throw away[NL]such a big part of yourself?[A][NL]You're a warrior at heart! You [X][NL]can't give that up and be happy![A][0B][16]......[16][A][09]Look at me, Dad![NL]Have you seen me fight?[X][A][NL]I'm not a child anymore.[NL]I'm a warrior, like you.[A][NL]You're free to worry, but [NL]I can survive on my own![A][0B][16]...[X][16]Ross.[X][A][09][800B][09]You want to challenge me, Father?[X][A][NL]I'm a fighter! The best in all of Ide![A][NL]I'm not gonna lose to you![NL]I'm not gonna lose to anyone![X][A][17][0B][16]...[X][16]You're right.[X][A][NL]You're a good soldier, Ross.[A][15][09][11][0A][10][02][NL][08][10][04][NL][0B]Sir Seth[16]...[X][16][A][NL]If these old bones of mine can[NL]still serve, I'd like to join you.[A][0D][10][09][NL][0D]Dad[X][16]...[X][16][A][0B]Looks like my boy grew up while[X][NL]I wasn't looking[16]...[X][16][A][NL]He's tougher than I thought.[NL]He doesn't need my help.[A][NL]I've raised him as best I could, [X][NL]but he's right.[X][A][NL]I've nothing to fear. I should [X][NL]fight. I will fight.[A][0D]Dad![A]
0x0963	[09][10][02][NL][0C][10]X[NL][0C]Thank you so much for your help.[NL]Please, stay the night and rest[X][16]...[X][16][A][09]We would if we could, but we have[X][NL]much to do and far to travel.[X][A][NL]Your safety is reward enough.[X][A][0C]Ah, well[16]...[X][16][A][02][NL]My, that is a splendid[NL]bracelet you're wearing.[A][09]Thank you. My father[NL]gave this to me.[A][0C]It's a wonderful gift.[A][NL]But you should be careful, wearing[NL]such a valuable item so openly.[X][A][NL]Since Renais was invaded, things have[X][NL]become so dangerous around here.[A][NL]There are gold-hungry thieves and[X][NL]bandits everywhere.[X][A][02][NL]The most wicked are Bazba's Bandits.[NL]They are[16]...[X][16]cruel beyond words.[X][A][NL]If you have something they want, your[X][NL]life is worth less than nothing.[A][NL]Just the other day they assaulted some[NL]travelers and[X][16]... [16]Oh, it was awful.[X][A][09]I[X][16]...[X][16]I can't believe such things[X][16]...[X][16][A][0C]Oh, Renais is finished, mark my words.[NL]The Grado Empire's stolen our future.[X][A][NL]Our only hope against them was that[X][NL]Prince Ephraim would prevail, but[X][16]...[X][16][A][NL]Rumor has it that he's on the verge of[NL]being crushed by Grado's vast numbers.[A][NL]These are dark days. Travel with care.[A][09][16]......[16][A]
0x0964	[0A][10][02][NL][0A]Ephraim[X][16]...[X][16][A]
0x0965	[09][10].[NL][0C][10]-[NL][09]It's time to start.[X][NL]Are you ready, Eirika?[A][0C]Yes, Ephraim.[X][NL]Let's begin.[A][09]Tell me, though: why do you want[NL]me to teach you to fight?[X][A][NL]I thought you didn't care for[X][NL]violence[16]...[X][16][A][0C]I do not like uncivilized behavior.[X][A][NL]I think one can solve one's problems[NL]without fighting.[X][A][NL]And yet[X][16]...[X][16][A][09]And yet what?[X][A][0C]I've always relied on you to[NL]protect me, Brother.[A][NL]I would rather not be such a[NL]burden to you in the future.[A][NL]So, I thought maybe I should[NL]learn to protect myself[X][16]...[X][16][A][09]I'm your brother. Brothers are[NL]supposed to protect their sisters.[A][NL]It's nothing for you to worry about.[NL]It's no cause for concern.[A][0C]Yes, but[16]...[X][16][A][NL]I am your sister. Sisters are supposed[NL]to worry about their brothers.[A][02][NL]So I would like to learn something of[X][NL]swordplay, if only a little.[A][NL]And maybe, someday, I can protect you[X][NL]in your time of need[16]...[X][16][A][NL]So please, Ephraim.[X][A][09]All right, all right. How could I say no?[X][A][NL]Honestly, once you get an idea into your[NL]head, that's it. I might as well give in.[X][A][02][NL]It's agreed. I'll teach you, but won't[NL]hold back because you're my sister.[X][A][NL]And I want no complaining once we've[NL]started, Eirika.[A][0C]Complain? Me? Never![A]
0x0966	[0A][10][02][NL][17][0E][10][0C][NL][0A][16]......[16][A][0E][800A][08]Oops! Beg your pardon.[A][0A][800C][0A]Hey![A][08][8011][17][0C][10][04][NL][0C]Princess, are you all right?[A][0A]Y-yes[X][16]... [16]Someone bumped into[X][NL]me is all. I was jarred.[A][0C]Hm?[X][05][NL]Your Highness, where is your bracelet?[A][0A]My bracelet?[NL]It's[16]...[X][16]gone.[X][A][NL]Where could it be?[NL]Did that man[16]--[16][A][0C]I'll find him![A][0A]Don't worry about it, Seth.[X][A][NL]That bracelet was a gift from my[NL]father, but Ephraim needs our help.[X][A][NL]I can't let sentimentality get in[X][NL]the way of my duty.[X][A][0C]No, Princess... We must retrieve [X][NL]your bracelet regardless of cost.[X][A][NL]You cannot lose it. Let's go.[X][NL]We must hurry.[A]
0x0969	[09][10]`[NL][0E][10][02][NL][0C][10]?[NL][09]This is terrible[16]... [16]What are we going[X][NL]to do? Those bandits are so close.[A][NL]If we can't find some way to protect[NL]ourselves, the village is doomed.[X][A][0C]Perhaps[X][16]...[X][16][A][09][11][09][10][02][NL][09]People, listen to me! You must close[NL]the village gates immediately.[A][NL]Hurry, before the bandits arrive![X][A][0C]Who are you? You aren't from one[NL]of the neighboring towns, are you.[A][NL]And your weapons give you away[16]...[X][16][NL]You're no peasant.[A][09]I am Er[X][16]...[X][16][A][NL]My name is Erina.[X][NL]I'm a mercenary.[A][0C]A mercenary named Erina, is it?[X][A][NL]There's more to you than that, I feel.[NL]But don't worry[X][16]--[16]it's none of my affair.[X][A][NL]I haven't told you who I am yet, have I?[NL]I am Selena, a general in Grado's army.[X][A][09]Ah![X][A][0C]Is something wrong?[X][A][09]No[16]...[X][16]uh, nothing.[A][0C]It looks like these villagers[X][NL]have some bandit troubles.[A][NL]I would like to help, but[X][NL]I have orders[X][16]...[X][16][A][NL]I'm to leave for the capital[NL]immediately, and I cannot stay.[X][A][NL]You're armed, and you claim to be[X][NL]a mercenary. Will you help them?[A][09]Um[16]...[X][16][A][0C]Is there a problem?[X][A][09]No! Of course I'll help them![X][A][NL]It's just[X][16]... [16]You're one of[X][NL]Grado's generals[16]... [16]Why[X][16]...[X][16][A][0C]These aren't soldiers.[NL]They're people.[X][A][NL]Should they suffer because[NL]their leaders fight?[A][NL]I've petitioned your aid.[X][NL]Take this as payment.[X][A][0C][11][09][16]......[16][A]
0x096A	[0C][10]?[NL][09][10][FF][FF][0C]And who are you?[05] You don't look[X][NL]like one of the local peasantry.[A][02][NL]As you can see, these villagers[X][NL]have some bandit troubles.[A][NL]I would like to help, but I have[NL]orders to follow[16]...[X][16][A][NL]I am required to quit this area at once.[A][NL]I would ask you to aid them in this fight.[A][NL]I will pay you for your trouble, of course.[X][A]
0x096D	Sometimes, you will gain [X][8021]gold[8021] or [8021]items[X][8021][NL]when you [X][8021]visit[X][8021] a village.[X][A][NL]Villages can also be [X][8021]destroyed[X][8021] by[X][NL]bandits or other enemy troops.[A][NL]Any of your allied units can [X][8021]visit[X][8021][NL]villages and houses.[A][NL][8021]Visit[X][8021] all the villages and warn them[X][NL]before they're [X][8021]savaged[X][8021] by the bandits.[A]
0x096E	Ross is a [8021]journeyman[8021].[X][A][NL][8021]Journeymen[8021] are inexperienced[NL]fighters with low combat skills.[A][NL]When they reach [8021]level 10[8021], they[A][NL]can [8021]change classes[8021] to become more[X][NL]powerful [X][8021]fighters[8021] or [8021]pirates[X][8021].[X][A][NL]You should avoid sending [X][8021]journeymen[8021][NL]to face strong enemies.[X][A][02][NL]Ross's father is Garcia, a [X][8021]fighter[X][8021].[X][A][NL][8021]Fighters[8021] who reach level 10 or higher[X][NL]can use [8021]hero crests[X][8021] to [8021]change classes[8021][NL]and become [X][8021]heroes[8021] or [8021]warriors[8021].[X][A][02][NL]Additionally, [8021]cavaliers[X][8021] and [X][8021]knights[X][8021] can [X][NL]use [8021]knight crests[X][8021] to [8021]change classes[8021].[X][NL]They can choose between [8021]2 types[X][8021][NL][8021]of soldiers[X][8021].[X][A][NL]Be sure to power up your units and[NL][8021]change classes[8021] when you can.[A]
0x096F	Because [8021]pegasus knights[X][8021] fly, mountains[X][NL]do not block their movement.[A][NL]However, they are vulnerable to [8021]missile[X][NL]attacks[X][8021], so watch out for [X][8021]archers[X][8021].[X][A]
0x0970	Vanessa must [X][8021]rescue[8021] Ross.[A][NL]First, place the cursor on [X][8021]Vanessa[X][8021][NL]and press the A Button.[X][A]
0x0971	Move to a space next to [8021]Ross[8021][NL]and press the A Button.[X][A]
0x0972	Now select [X][8021]Rescue[8021] and[NL]press the A Button again.[X][A]
0x0973	[8021]Pegasus knights[X][8021], [8021]cavaliers[X][8021], and other[X][NL]mounted units can [8021]continue moving[X][8021] after[NL]they've rescued someone.[A][NL]Go ahead and move to this space.[A]
0x0975	Vanessa is currently carrying Ross as[X][NL]a [8021]traveler[8021].[X][A][NL]Drop Ross off next to Moulder.[A][NL]First, place the cursor on [X][8021]Vanessa[X][8021][NL]and press the A Button.[X][A]
0x0976	Press the A Button[NL]and select [X][8021]drop[8021].[X][A]
0x0977	You can continue to move.[X][A][NL]Ross's father, Garcia, is still on[NL]the other side of the mountains.[A][NL]Move close so that it's easier to[X][NL]rescue him on your next turn.[X][A]
0x0978	Moulder can use his [8021]staff[X][8021] to[X][NL]restore some of Ross's [X][8021]HP[8021].[X][A][NL]Place the cursor on [8021]Moulder[X][8021] and[NL]press the A Button.[X][A]
0x0979	Leave the cursor where it is and[NL]press the A Button again.[X][A]
0x097A	Now select [X][8021]Staff[X][8021] and [X][NL]press the A Button again.[X][A]
0x097B	Ross has been [8021]rescued[X][8021].[X][NL]Now bring Moulder to Vanessa.[X][A][NL]Select [X][8021]Moulder[X][8021] with the cursor[NL]and press the A Button.[X][A]
0x097C	Move close to [8021]Vanessa[X][8021].[X][NL]Place the cursor on the flashing[NL]space and press the A Button.[X][A]
0x097D	In this way, you can use [X][8021]Rescue[8021] to[X][NL]help units in danger, as well as[NL]in other situations.[A][NL]Use it to your advantage, and turn[NL]battles in your favor.[A]
0x097E	The [8021]objective[X][8021] on this map [X][NL]is to [8021]defeat all enemies[8021].[X][A][NL]The number of enemies [8021]left[8021] [X][NL]appears on the edge of the screen.[A][NL]Defeat all of your opponents to[X][NL]gain a [X][8021]victory[X][8021].[X][A]
0x097F	Ross has joined your team and become [X][NL]one of your [8021]allies[8021].[X][A][NL]The green unit on the other side of the[X][NL]mountains is Garcia. He is still [X][8021]neutral[X][8021].[X][A][NL]If you get the right person to talk to[NL]him, he may become an [8021]ally[8021].[X][A][NL]Move into spaces adjoining green units[NL]and select [X][8021]Talk[8021].[X][A][02][NL]Ross is Garcia's son. Move Ross into a[NL]space next to Garcia and choose [8021]Talk[8021].[X][A]
0x0980	[8021]Visit[X][8021] a village to warn it about the[X][NL]bandit threat. First, place the cursor[NL]on [X][8021]Eirika[8021] and press the A Button.[A]
0x0981	The cursor is on [X][8021]Eirika[8021].[X][NL]Press the A Button.[X][A]
0x0982	Move [X][8021]Eirika[8021] to the village.[NL]Place the cursor on the flashing[NL]space and press the A Button.[X][A]
0x0983	Now select [X][8021]Visit[X][8021] and press[NL]the A Button again.[X][A]
0x0984	Try talking to Ross. Place the cursor[X][NL]on [X][8021]Eirika[8021] and press the A Button.[A]
0x0985	The cursor is on [X][8021]Eirika[8021].[X][NL]Press the A Button.[X][A]
0x0986	Move Eirika next to Ross. Place[X][NL]the cursor in the flashing[NL]space and press the A Button.[X][A]
0x0987	Select [X][8021]Talk[8021] and press[NL]the A Button.[X][A]
0x0988	There is an [8021]armory[8021] due south of here.[X][A][NL]You could probably take the [8021]red gem[X][8021] you[NL]got at the village and sell it there.[X][A]
0x0989	It's a good idea to buy iron swords and[X][NL]other everyday weapons at [8021]armories[8021].[X][A][NL]However, your funds are not endless.[A][NL]There are [8021]armories[8021] in other towns, too,[X][NL]so purchase only necessary items here.[A]
0x098A	From here on out, you'll also have[NL]the services of a [8021]supply convoy[X][8021].[X][NL]The [8021]supply convoy[X][8021] always travels [NL]with your commander.[A][NL]The commander of this group is [X][8021]Eirika[8021].[X][A][NL]If you place an allied unit in a space[NL]next to [8021]Eirika[8021], the [8021]supply[8021] command[NL]will display. You will then be able to[NL][8021]give[8021] and [X][8021]take[8021] items.[X][A][NL]If you're carrying too many items,[NL]it's a good idea to [8021]give[8021] some to[NL]the [8021]supply convoy[X][8021].[X][A]
0x098B	[09][10][04][NL][0C][10][02][NL][09]The local villagers tell me that[NL]Bazba's Bandits keep their lair nearby.[X][A][NL]A few of them saw a lad matching the[NL]description of our bracelet thief.[A][NL]It seems a fair guess that the youth[NL]is one of these bandits.[A][0C]Bandits[X][16]... [16]Here in Renais, our homeland.[X][NL]I had no idea[X][16]...[X][16][A][NL]Burning our villages[16]... [16]Stealing from[X][NL]our people with no fear of reprisal?[A][09]It wasn't always like this. The knights[X][NL]used to protect the citizenry[X][16]...[X][16][A][NL]However, with Renais in ruins and her army[NL]tattered, law and order are hard to find.[X][A][NL]It doesn't look like the Grado army is[NL]interested in maintaining order here.[X][A][NL]If nothing changes, Renais will continue[NL]this sad plunge into savagery.[A][0C][16]......[16][A]
0x098C	[0D][10][04][NL][0B][10][02][NL][0E][10][0A][NL][0E]Uh[16]... [16]Hello?[A][0E][800A][08]Pardon me for asking[16]...[X][16][A][NL]but are you all some sort[X][NL]of[16]...[X][16]mercenary troop?[A][08][800B][0B]Why do you ask?[X][A][09][800C][0A]P-p-please, you have to help[NL]Colm. You have to![A][NL]I told him it was too dangerous,[NL]but he wouldn't listen to me![X][A][0B]Please, you must calm yourself. Start[X][NL]at the beginning, and speak slowly.[X][A][0A]All right[X][16]... [16]Sniff.[A][NL]I'm Neimi.[A][NL]I'm from[16]... [16]I used to be from[X][NL]a village named Lark[16]...[X][16][A][NL]Except the village is gone.[X][A][0B]Gone? What[NL]do you mean?[A][0A]Bazba's Bandits burned it down.[X][NL]Only Colm and I escaped.[A][NL]The other villagers[X][16]...[X][16][NL]The bandits attacked them and[X][16]...[X][16][A][0B][16]......[16][A][0D]Neimi, what are you doing here?[X][A][0A]Bazba's Bandits[X][16]... [16]They have a[X][NL]hideout here in these mountains.[A][NL]That's where Colm[X][16]...[X][16][A][NL]Um, Colm's my[X][16]...[X][16]uh[16]... [16]We've known[X][NL]each other since we were kids.[A][NL]He went to steal back something[X][NL]the bandits took from me[16]...[X][16][A][0B]He went alone? That's a[X][NL]very dangerous thing[16]...[X][16][A][0A]Yes, I know. Th-that's what I told[NL]him, but he wouldn't listen to me.[A][NL]If I lose Colm, too, I don't know[X][16]...[X][16][NL]I[X][16]... [16]I'll[16]...[X][16]sniff[X][16]...[X][16][A][0B]Wait, please don't cry.[X][A][NL]Don't worry. We'll find your friend[X][NL]and see that he's not harmed.[X][A][0A]Really? Really and truly?[X][NL]Oh, thank you! Thank you!!![X][A][NL]I[X][16]... [16]I don't have much money,[NL]but[X][16]...[X][16]I'll do anything to help.[X][A][0D]Your Highness? What will it be?[X][A][0B]If the thief we're after has gone[X][NL]to the bandits' lair as well[16]...[X][16][A][NL]Well, it seems as though we share[X][NL]a common cause with Neimi.[A][NL]She is a citizen of Renais, after all.[A][NL]And isn't it our duty to defend our[X][NL]countrymen?[X][A][NL]I'm only sad that we weren't here to[NL]protect her friends and neighbors[X][16]...[X][16][A][NL]So, yes, I feel we must help her.[X][A][0D]Very well. Neimi, I trust[X][NL]you can lead the way?[X][A][0A]Er, yes[X][16]...[X][16][05][NL]It's this way.[A]
0x098D	[09][10][02][NL][0C][10][04][NL][0C]It figures. The doors are locked.[X][A][NL]With no keys and no thief to pick[X][NL]the locks, we're stuck outside.[X][A][09]I see. We're at an impasse[NL]then, aren't we?[A][0C]Actually[16]... [16]No, we're in luck.[NL]You see that wall there, milady?[A][09]Yes, I do. It's cracked[X][16]...[X][16][A][0C]That's right. A few well-aimed blows[NL]should bring it crumbling down.[X][A]
0x098E	[09][10][0A][NL][0C][10][04][NL][09]Um[16]... [16]Is there anything I can do[NL]to help? I feel so[16]...[X][16][A][NL]When I was little I used to go[NL]hunting with my grandfather.[A][NL]What I mean is I can[16]--[16][NL]I'm not bad with a bow.[X][A][0C]Really?[X][A][09]Uh-huh.[X][A][0C]I see.[A][NL]You should remain behind and[NL]protect Princess Eirika.[A]
